KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
0.291194967,0.068,0.031,1.007,3.296,12.512,-2.991,0.221,0.485,0.923,53.284,-7.629,30.273,-0.182,0.563,0.551,-332.031,-36.804,-76.599,-0.144,-0.411,0.204,-68.176,4.883,0.732,0.598377831,-0.027782744,0.214374278,0.001858607,-0.402754127,0.008933534
0.295625022,0.042,0.046,1.022,5.676,13,-5.005,0.223,0.476,0.891,52.246,-9.399,28.442,0.124,0.252,0.491,-363.037,-41.016,-81.665,-0.148,-0.5,0.247,-84.961,-1.16,-6.836,0.281713273,-0.248741698,-0.278169373,0.038110078,0.005885701,0.035888996
0.2912273,-0.007,0.049,1.01,-1.709,18.066,-6.958,0.146,0.453,0.847,52.307,-7.629,24.78,0.421,-0.159,0.278,-403.259,-2.136,-105.591,-0.08,-0.53,0.343,-104.004,-13.611,-8.911,0.258542326,-0.013052166,0.112468801,0.000210812,0.278313398,0.072728343
0.278517969,-0.001,0.007,1.016,6.287,14.099,-5.859,0.15,0.46,0.782,50.232,-0.427,21.301,0.124,0.252,0.491,-363.037,-41.016,-81.665,-0.111,-0.532,0.445,-121.277,-8.301,-10.559,-0.815024674,-0.086705054,-0.16777161,-0.0525186,0.865081436,0.056555007
0.27317255,-0.049,0.042,1.021,4.272,17.517,-7.629,0.192,0.442,0.732,45.593,-9.705,18.25,0.421,-0.159,0.278,-403.259,-2.136,-105.591,-0.08,-0.53,0.343,-104.004,-13.611,-8.911,0.281713273,0.119523226,0.146437386,-0.014619305,0.519308413,-0.00364572
0.263087839,-0.06,0.049,0.993,-1.221,15.564,-7.263,0.152,0.446,0.711,45.105,0.549,13.367,0.224,-0.503,0.391,-294.922,76.904,-104.492,-0.111,-0.532,0.445,-121.277,-8.301,-10.559,-0.984942427,0.075331589,0.036039623,-0.045927414,0.435482985,-5.16E-05
0.258417627,-0.043,0.009,0.992,4.517,9.827,-5.432,0.186,0.451,0.67,43.823,3.174,11.414,-0.092,-0.181,0.443,-245.483,103.882,-107.91,-0.13,-0.59,0.441,-143.188,-4.456,-11.536,-0.042674174,0.414135261,0.171913686,-0.008028173,-0.088416326,-0.088106482
0.256968452,-0.039,0.014,0.996,3.54,10.742,-5.554,0.135,0.456,0.649,42.542,6.958,8.789,0.224,-0.503,0.391,-294.922,76.904,-104.492,-0.14,-0.675,0.471,-161.255,-9.766,-12.817,0.181307605,0.060600722,-0.320631078,-0.054166532,-0.256064091,0.017918737
0.258550771,-0.042,0.02,0.988,3.052,9.399,-5.249,0.113,0.456,0.655,39.795,13.123,6.897,-0.092,-0.181,0.443,-245.483,103.882,-107.91,-0.13,-0.59,0.441,-143.188,-4.456,-11.536,0.467078325,0.281559869,-0.040389554,0.018336519,-0.444666841,0.008933534
0.255969216,-0.028,0.008,0.984,5.92,6.47,-3.601,0.099,0.447,0.648,38.757,10.315,7.263,-0.192,0.252,0.592,-241.699,73.914,-105.286,-0.14,-0.675,0.471,-161.255,-9.766,-12.817,-0.228038466,0.00167845,-0.07435814,0.000210812,0.40404845,-0.083613807
